(76.22912183539295, 31.73995018005371)
(80.63531583902282, 34.163713455200195)
(88.12076310786375, 7.190227508544922)
(95.22467197864394, 19.4549560546875)
(101.90170220381208, 17.736434936523438)
(109.23411386590611, 18.23902130126953)
(117.32005727346682, 21.368026733398438)
(128.07520413504201, 42.33884811401367)
(139.49168814524384, 37.90879249572754)
(150.787720788367, 38.93423080444336)
(148.11534201355133, 44.06547546386719)
(144.9661958102684, 66.18332862854004)
(93.9606677165757, 13.496875762939453)
(70.97369902332149, 12.045860290527344)
(60.99509550863239, 12.503862380981445)
(61.417958445673676, 61.39659881591797)
(64.24003374267346, 36.67259216308594)
(64.20897722958021, 32.75322914123535)
(70.17496630499762, 30.292987823486328)
(74.45373940458244, 30.074119567871094)
(79.80823959335677, 35.10403633117676)
(87.64733779368487, 7.810354232788086)
(97.50223113452711, 8.175134658813477)
(105.23318867140951, 19.540071487426758)
(115.06011234345864, 21.700382232666016)
(125.88113517515725, 57.42454528808594)
(133.7270276296905, 43.36428642272949)
(140.18606822197276, 39.03961181640625)
(149.58798384552313, 38.90180587768555)
(153.2438824125832, 43.48587989807129)
(147.64154698435965, 64.17298316955566)
(105.79021144988961, 10.315179824829102)
(72.34471910679916, 9.09113883972168)
(67.15892545089234, 9.403228759765625)
(59.57943706349716, 11.150121688842773)
(61.36614102968045, 38.08307647705078)
(65.90568012770287, 34.02590751647949)
(70.0359475618631, 31.17656707763672)
(73.69406701905822, 30.78746795654297)
(80.17511505524904, 31.926393508911133)
(86.03958555965963, 35.80522537231445)
(91.643853591188, 10.007143020629883)
(97.88813352570291, 8.44264030456543)
(102.66415884238519, 21.197795867919922)
(109.7360712220776, 20.751953125)
(116.11826344682186, 22.490739822387695)
(123.27772143662541, 12.892961502075195)
(129.64820670332045, 41.76735877990723)
(136.57824440017743, 39.2909049987793)
(144.71859831169436, 37.80341148376465)
(151.1383623072468, 38.1317138671875)
(158.0776900531683, 42.09160804748535)
(148.68101095304485, 63.10296058654785)
(100.41641127730968, 10.10441780090332)
(66.91135032919453, 9.001970291137695)
(60.96791451991551, 10.384082794189453)
(59.86458561089954, 61.29932403564453)
(62.264421068388444, 37.22381591796875)
(66.71801034393081, 33.43820571899414)
(72.32260151107779, 31.780481338500977)
(77.47884915148677, 31.65888786315918)
(83.49864680385012, 36.67259216308594)
(87.17967175623471, 11.004209518432617)
(93.26171837896284, 7.688760757446289)
(100.04853140645248, 11.90805435180664)
(104.13769609816782, 19.957542419433594)
(109.61707061000205, 19.106388092041016)
(114.56449843027622, 21.355867385864258)
(123.0419390606598, 12.759208679199219)
(130.4019652491805, 42.02675819396973)
(140.3000957983461, 37.912845611572266)
(146.6231583324434, 37.30893135070801)
(150.9981085390307, 40.28797149658203)
(145.87240481241184, 65.13357162475586)
(116.97317537066236, 12.56871223449707)
(73.21146839428319, 11.251449584960938)
(65.35639603671389, 11.158227920532227)
(59.42122025047205, 13.468503952026367)
(60.73775955286146, 39.77322578430176)
(67.45572637168301, 35.695791244506836)
(69.90905836571845, 31.744003295898438)
(72.8820378700294, 30.37405014038086)
(78.06398283883789, 30.65776824951172)
(82.64069937007213, 34.5001220703125)
(88.39082358750838, 54.94403839111328)
(93.00991869896201, 5.897283554077148)
(98.45440001591966, 11.859416961669922)
(102.96782503402771, 19.30093765258789)
(107.85601962378043, 19.694089889526367)
(116.0754613068046, 22.515058517456055)
(123.02996402906848, 24.98340606689453)
(133.89901797686062, 41.155338287353516)
(145.67353281452282, 39.44087028503418)
(149.73034971320158, 41.722774505615234)
(152.79858223414595, 46.35953903198242)
(141.62880605224052, 17.07172393798828)
(95.44779451128377, 11.806726455688477)
(77.68663539804176, 10.61105728149414)
(65.0070332092682, 10.878562927246094)
